Zeit;Solldruck;Istdruck;Solltemp;Isttemp;Anzahl
05.05.2020 08:32:23;0;0,5;112;110,3;4
05.05.2020 08:33:23;88;87,3;155;122,5;4
05.05.2020 08:34:23;92;95,3;155;129,8;3
05.05.2020 08:35:23;150;147,3;155;135,6;2
05.05.2020 08:36:23;150;148,9;155;144,2;5
05.05.2020 08:37:23;150;149,6;155;148,9;5
05.05.2020 08:38:23;150;151,2;155;152,6;4
05.05.2020 08:39:23;150;147,6;155;152,9;3
05.05.2020 08:40:23;150;147,8;155;154,8;2
05.05.2020 08:41:23;150;149,5;155;154,3;3
05.05.2020 08:42:23;150;149,5;155;153,2;3
05.05.2020 08:43:23;150;149,8;155;154,3;4
05.05.2020 08:44:23;150;148,9;155;155,1;4
